Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
25Dec2025  0100,9884,9782,10298
25Dec2025  0200,9884,9782,10298
25Dec2025  0300,9884,9782,11640
25Dec2025  0400,9884,9782,9059
25Dec2025  0500,9884,9782,11590
25Dec2025  0600,9884,9782,10351
25Dec2025  0700,9884,9782,11541
25Dec2025  0800,9884,9782,11591
25Dec2025  0900,9884,9782,9014
25Dec2025  1000,9884,9782,11643
25Dec2025  1100,9923,9821,10253
25Dec2025  1200,10023,9919,9067
25Dec2025  1300,9018,8925,9018
25Dec2025  1400,10356,10249,10356
25Dec2025  1500,,,
25Dec2025  1600,,,
25Dec2025  1700,,,
25Dec2025  1800,,,
25Dec2025  1900,,,
25Dec2025  2000,,,
25Dec2025  2100,,,
25Dec2025  2200,,,
25Dec2025  2300,,,
26Dec2025  0000,,,
